row_id,row_number,pdf_viewer_page,printed_page,page_local_row,region_image,arc_raw_pdf,arc_normalized,chord_raw_pdf_columns,chord_normalized,modern_formula_chord,difference_raw_pdf_columns,sixtieths_normalized,modern_formula_sixtieths_per_arc_minute,page_assignment_status,pdf_transcription_status,numeric_check_status,english_witness_status,notes
I.11.r001,1,,,,,,0°30′,,,"0;31,25",,,"0;01,02,50",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r002,2,,,,,,1°,,,"1;02,50",,,"0;01,02,50",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r003,3,,,,,,1°30′,,,"1;34,15",,,"0;01,02,50",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r004,4,,,,,,2°,,,"2;05,39",,,"0;01,02,48",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r005,5,,,,,,2°30′,,,"2;37,04",,,"0;01,02,50",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r006,6,,,,,,3°,,,"3;08,28",,,"0;01,02,48",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r007,7,,,,,,3°30′,,,"3;39,53",,,"0;01,02,50",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r008,8,,,,,,4°,,,"4;11,17",,,"0;01,02,48",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r009,9,,,,,,4°30′,,,"4;42,40",,,"0;01,02,46",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r010,10,,,,,,5°,,,"5;14,04",,,"0;01,02,48",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r011,11,,,,,,5°30′,,,"5;45,27",,,"0;01,02,46",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r012,12,,,,,,6°,,,"6;16,49",,,"0;01,02,44",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
I.11.r013,13,,,,,,6°30′,,,"6;48,11",,,"0;01,02,44",PENDING_PDF_ROW_ALIGNMENT,PENDING_PDF_ROW_TRANSCRIPTION,PENDING,NOT_USED,Modern formula values are QA witnesses only and may differ from Ptolemy's table by rounding; assign PDF page/row and fill raw PDF columns from Heiberg crop before using this row as source data.
